Days,Room
MoWe 12:30pm - 1:45pm,Campbell Hall 160
We 9:00am - 9:50am,Fayerweather Hall 215
We 5:00pm - 5:50pm,Fayerweather Hall 215
Th 10:00am - 10:50am,Fayerweather Hall 206
Th 11:00am - 11:50am,Fayerweather Hall 215
Fr 11:00am - 11:50am,Fayerweather Hall 206
Fr 10:00am - 10:50am,Fayerweather Hall 206
MoWe 2:00pm - 3:15pm,Campbell Hall 160
TuTh 11:00am - 12:15pm,Fayerweather Hall 206
Th 1:00pm - 3:30pm,Fayerweather Hall 208
MoWe 11:00am - 12:15pm,Fayerweather Hall 206
MoWe 12:30pm - 1:45pm,Fayerweather Hall 206
TuTh 12:30pm - 1:45pm,Monroe Hall 110
We 1:00pm - 3:30pm,Fayerweather Hall 215
Tu 1:00pm - 3:30pm,Fayerweather Hall 208
Mo 5:00pm - 7:30pm,Fayerweather Hall 206
Tu 5:00pm - 7:30pm,Fayerweather Hall 215
Th 3:30pm - 6:00pm,Fayerweather Hall 208
Tu 1:00pm - 3:30pm,Fayerweather Hall 206
Fr 10:00am - 12:30pm,Fayerweather Hall 208
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TuTh 11:00am - 12:15pm,New Cabell Hall 338
TuTh 11:00am - 12:15pm,New Cabell Hall 338
MoWe 12:30pm - 3:00pm,Ruffin Hall 203
MoWe 6:30pm - 9:00pm,Ruffin Hall 203
TuTh 9:00am - 11:00am,Ruffin Hall 203
TuTh 12:30pm - 3:00pm,Ruffin Hall 203
TuTh 3:30pm - 6:00pm,Ruffin Hall 203
MoWe 3:30pm - 6:00pm,Ruffin Hall 203
MoWe 9:00am - 11:30am,Ruffin Hall 206
TuTh 3:30pm - 6:00pm,Ruffin Hall 206
MoWe 9:00am - 11:30am,Ruffin Hall 219
TuTh 9:00am - 11:30am,Ruffin Hall 219
TuTh 12:30pm - 3:00pm,Ruffin Hall 219
TuTh 9:00am - 11:30am,Ruffin Hall 102
TuTh 9:00am - 11:30am,Ruffin Hall 319
TuTh 12:30pm - 3:00pm,Ruffin Hall 319
TuTh 3:30pm - 6:00pm,Ruffin Hall 319
TuTh 3:30pm - 6:00pm,Ruffin Hall 220
MoWe 3:30pm - 6:00pm,Ruffin Hall 220
MoWe 3:30pm - 6:00pm,Ruffin Hall 319
MoWe 9:00am - 11:30am,Ruffin Hall 320
MoWe 12:30pm - 3:00pm,Ruffin Hall 120
MoWe 12:30pm - 3:00pm,Ruffin Hall 206
MoWe 12:30pm - 3:00pm,Ruffin Hall 219
MoWe 3:30pm - 6:00pm,Ruffin Hall 102
MoWe 12:30pm - 3:00pm,Ruffin Hall 102
TuTh 12:30pm - 3:00pm,Ruffin Hall 220
MoWe 12:30pm - 3:00pm,Ruffin Hall 320
MoWe 9:00am - 11:30am,Ruffin Hall 120
MoWe 12:30pm - 3:00pm,Ruffin Hall 206
MoWe 12:30pm - 3:00pm,Ruffin Hall 219
MoWe 3:30pm - 6:00pm,Ruffin Hall 102
Fr 9:00am - 2:00pm,Ruffin Hall 102
TuTh 12:30pm - 3:00pm,Ruffin Hall 220
MoWe 12:30pm - 3:00pm,Ruffin Hall 320
MoWe 9:00am - 11:30am,Ruffin Hall 120
MoWeFr 9:00am - 9:50am,New Cabell Hall 027
MoWeFr 11:00am - 11:50am,New Cabell Hall 027
MoWeFr 12:00pm - 12:50pm,New Cabell Hall 027
MoWeFr 2:00pm - 2:50pm,New Cabell Hall 027
Tu 5:15pm - 6:30pm,New Cabell Hall 395
Tu 7:00pm - 8:15pm,New Cabell Hall 395
Tu 5:15pm - 6:30pm,New Cabell Hall 027
Tu 7:00pm - 8:15pm,New Cabell Hall 027
MoWeFr 9:00am - 9:50am,New Cabell Hall 395
MoWeFr 10:00am - 10:50am,New Cabell Hall 395
MoWeFr 11:00am - 11:50am,New Cabell Hall 395
MoWeFr 12:00pm - 12:50pm,New Cabell Hall 395
TuTh 3:30pm - 4:45pm,New Cabell Hall 027
TBA,TBA
